Rank,month1_01,month1_02,month1_03,month1_04,month1_05
1,government,film,chelsea,microsoft,economy
2,blair,best,cup,mobile,growth
3,labour,awards,league,users,oil
4,minister,award,united,software,sales
5,party,actor,game,people,bank
6,election,director,club,security,prices
7,howard,oscar,liverpool,net,company
8,secretary,films,play,information,china
9,brown,actress,side,programs,economic
10,people,star,against,computer,market
11,law,movie,mourinho,internet,rise
12,tory,aviator,players,virus,figures
13,public,festival,champions,service,japan
14,prime,starring,goal,mail,demand
15,eu,prize,season,technology,fuel
16,mps,oscars,arsenal,phones,quarter
17,plans,named,injury,data,dollar
18,leader,nominated,barcelona,phone,firm
19,bill,box,team,system,government
20,women,comedy,match,search,deal
21,chancellor,ceremony,back,digital,german
22,education,hollywood,time,online,exports
23,home,baby,win,firm,production
24,liberal,office,boss,windows,spending
25,ministers,nominations,premiership,uk,debt
26,tories,foxx,manchester,anti,world
27,lord,ray,manager,networks,rose
28,tony,sideways,minutes,firms,high
29,immigration,academy,goals,site,profits
30,children,dollar,fa,program,deficit
31,says,including,football,web,december
32,tax,golden,striker,google,recovery
33,country,actors,everton,pc,rates
34,committee,book,final,network,energy
35,britain,drama,newcastle,customers,europe
36,report,stars,ball,companies,rate
37,uk,supporting,old,based,shares
38,scottish,theatre,played,access,domestic
39,saying,directed,tie,company,business
40,policy,critics,think,video,group
41,cabinet,top,home,systems,costs
42,parliament,story,half,content,record
43,council,favourite,player,get,tax
44,support,life,chance,website,rising
45,commons,british,games,survey,russian
46,get,children,got,tv,fell
47,scotland,number,good,pcs,months
48,bbc,winners,real,broadband,state
49,commission,producers,return,critical,expected
50,national,february,round,websites,hit
